id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
30729,Rolls On Wheels,No,No,2.6,153,Koramangala 1st Block,Quick Bites,"Rolls, Momos, Masala Fries, Kulfi, French Fries, Egg Roll, Paneer Roll","Fast Food, Rolls, Momos",300.0,Dine-out
30765,Udupi Upahara,No,No,3.6,47,Koramangala 1st Block,Quick Bites,"Filter Coffee, Masala Dosa","South Indian, North Indian",300.0,Dine-out
30871,Pathaan Sir,Yes,No,3.8,132,Koramangala 7th Block,Quick Bites,"Rolls, Momos, Chicken Egg Roll, Fries, Cheese Roll, Veggie Roll","Rolls, Chinese",300.0,Dine-out
30882,Dhang Ka Khana,Yes,No,3.7,34,Ejipura,Quick Bites,Panneer Butter Masala,North Indian,200.0,Dine-out
30940,Raghavendra Tiffin,No,No,4.4,228,HSR,Quick Bites,"Idli Sambar, Bisi Bele Bhaath, Podi Masala Dosa, Tea, Filter Coffee, Curd Rice, Vada",South Indian,150.0,Dine-out
30974,Sri Dalma,Yes,No,3.8,78,HSR,Quick Bites,"Thali, Mutton Handi","Oriya, Bengali",350.0,Dine-out
31424,Easy Bites,Yes,No,4.1,77,BTM,"Takeaway, Delivery","Potato Wedges, Chicken Shawarama, Popcorn Chicken","Fast Food, Sandwich",300.0,Delivery
31437,Kullad Cafe,Yes,No,3.9,333,BTM,Cafe,"Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi","North Indian, Cafe, Fast Food, Beverages",200.0,Delivery
31458,Shree Muthahalli Veg,Yes,No,4.2,850,HSR,Quick Bites,"Rava Idli, Filter Coffee, Tea, Vada, Paper Masala Dosa, Donne Biryani","South Indian, North Indian, Chinese, Juices, Ice Cream",300.0,Delivery
31534,Aramane Donne Biriyani,Yes,No,3.9,192,BTM,Quick Bites,"Egg Biryani, Donne Biryani","Biryani, Fast Food",300.0,Delivery
31543,Sangam Sweets,Yes,No,3.9,149,HSR,Sweet Shop,"Pav Bhaji, Chaat, Paratha, Chole Bhature, Panipuri, Dhokla, Dahi Bhalle","Mithai, Street Food",200.0,Delivery
31609,The Pancake Story,Yes,No,4.6,121,Koramangala 1st Block,Dessert Parlor,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate","Desserts, Beverages",300.0,Delivery
31676,Krispy Kreme,Yes,No,3.9,151,HSR,Dessert Parlor,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee","Desserts, Beverages",300.0,Delivery
31701,Bite Me Cupcakes,Yes,No,4.1,192,Koramangala 4th Block,Dessert Parlor,"Cup Cake, Chocolate Cake",Desserts,300.0,Delivery
31752,House Stark Cafe,Yes,No,3.9,46,HSR,Cafe,Fries,"Cafe, Desserts, Fast Food, Burger",300.0,Delivery
31907,Hunger Hitman,Yes,No,3.8,258,Koramangala,Delivery,"Halwa, Chicken Biryani, Butter Chicken, Kheer, Brownie Chocolate, Chilli Chicken, Raita","North Indian, Chinese",300.0,Delivery
31933,Juice Junction,Yes,No,4.0,139,Koramangala 5th Block,"Beverage Shop, Quick Bites","Fruit Bowl, Grape Juice, Nannari Sharbat, Cheese Sandwich, Tea, Cheese Sandwiches, Orange Juice","Juices, Fast Food, South Indian, Chinese",200.0,Delivery
31976,Paratha Plaza,Yes,No,3.9,41,Koramangala 5th Block,Quick Bites,Sattu Paratha,North Indian,250.0,Delivery
32044,Coffee Tea & More,Yes,No,4.0,64,Koramangala 5th Block,Quick Bites,"Ginger Tea, Filter Coffee, Sandwich, Poha, Waffles, Vada","Beverages, Sandwich",150.0,Delivery
32329,Rajvardhan Foods,Yes,No,3.9,316,Jayanagar,Quick Bites,"Vada Pav, Misal Pav, Sabudana Vada, Dabeli, Pav Bhaji, Sabudana Khichdi, Lassi","Street Food, Maharashtrian",300.0,Delivery
32347,Momo Hut,Yes,No,4.0,685,Koramangala 5th Block,Quick Bites,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka","Chinese, Tibetan, Momos",250.0,Delivery
32485,The Food Dude,Yes,No,3.9,179,Koramangala 6th Block,Delivery,"Burgers, Pizza, Pasta, Momos, Wings, Chilli Paneer","Fast Food, Burger, Sandwich, Pizza",300.0,Delivery
33553,Fabindia Cafe,No,No,4.2,226,Koramangala 2nd Block,Cafe,"Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha","Cafe, Street Food",200.0,Dine-out
33698,Podi Idly,Yes,No,4.3,656,Koramangala 6th Block,Quick Bites,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",South Indian,250.0,Dine-out
33761,Jai Jinendra,No,No,4.0,99,Koramangala 6th Block,Quick Bites,"Dhokla, Raj Kachori, Panipuri, Jalebi, Pyaz Kachori","Street Food, Beverages",200.0,Dine-out
34065,Fillers,Yes,No,3.9,140,BTM,Quick Bites,"Pizza Parantha, Chai, Paratha, Fries, Cheese Maggi, Rajma Chawal","North Indian, Fast Food",300.0,Dine-out
34615,Kannur Food Point,Yes,No,3.7,217,BTM,Quick Bites,Roast Chicken,"Kerala, Chinese",200.0,Delivery
34619,Roti Wala,Yes,No,4.0,201,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300.0,Delivery
34637,Al-Bek,Yes,No,3.6,140,HSR,"Takeaway, Delivery","Mutton Biryani, Chicken Biryani, Shawarma, Kalmi Kabab, Butter Chicken, Chicken Grill, Garlic Chicken","Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0,Delivery
34698,Bihar Ki Shan,Yes,No,3.8,351,HSR,Quick Bites,Roti,North Indian,300.0,Delivery
34750,Pathaan Sir,Yes,No,3.9,184,BTM,Quick Bites,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll","Rolls, Chinese",300.0,Delivery
34766,Dosa Plaza,Yes,No,3.8,141,Koramangala 5th Block,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200.0,Delivery
34865,Karahi Kitchen,Yes,No,4.1,168,Koramangala 5th Block,Delivery,Chicken Biryani,"Andhra, Biryani, Chinese",300.0,Delivery
35876,Apsara Ice Cream,No,No,4.2,171,Koramangala 5th Block,Dessert Parlor,"Panipuri, Blueberry Cheesecake",Ice Cream,200.0,Delivery
36369,Delite Chaat House,Yes,No,3.9,503,Koramangala 6th Block,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri","Street Food, Gujarati",300.0,Dine-out
36778,Sree Krishna Kafe,Yes,No,4.2,973,Koramangala 5th Block,Quick Bites,"Filter Coffee, Lunch Thali, Idli, Mini Idlis, Ghee Masala Dosa, Rasam Vada, Pongal",South Indian,200.0,Dine-out
36782,Khawa Karpo,No,No,4.3,996,Koramangala 5th Block,Quick Bites,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken","Chinese, Tibetan, Momos",350.0,Dine-out
36798,Atta Galata,No,No,4.1,210,Koramangala 5th Block,Quick Bites,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries","Bakery, Beverages",200.0,Dine-out
36901,Delhi Food Point,Yes,No,3.3,912,Koramangala 1st Block,Quick Bites,"Jeera Rice, Corn Paratha, Paneer Bhurji, Gobhi Matar, Vegetarian, Sweet Lassi, Dal Fry","North Indian, Beverages",250.0,Dine-out
37024,Chaiwala,Yes,No,3.1,54,Koramangala 1st Block,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",Fast Food,100.0,Dine-out
37099,The Biriyani Pedia,Yes,No,4.0,59,BTM,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani","Biryani, North Indian",300.0,Dine-out
37528,Fish Chain,Yes,No,4.1,58,BTM,"Takeaway, Delivery",Sea Food,"Seafood, BBQ, Biryani",250.0,Delivery
37558,Swadista Aahar,Yes,No,4.1,790,BTM,Quick Bites,"Panneer Butter Masala, Idli, Masala Dosa, Vada, Coffee, Roti, Thali","South Indian, North Indian, Chinese, Street Food",300.0,Delivery
37562,Just Shawarma,Yes,No,4.0,414,Koramangala 5th Block,Quick Bites,"Whole Meat Shawarma, Fries, Jumbo Shawarma, Malgoum Shawarma, Rolls, Chicken Shawarama, Kerala Parotta",Arabian,300.0,Delivery
37595,Kalingas,Yes,No,3.9,185,BTM,Quick Bites,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali","Oriya, Fast Food",250.0,Delivery
37600,Bathinda Tandoor,Yes,No,3.9,64,BTM,Quick Bites,Friendly Staff,North Indian,300.0,Delivery
